Date/Time,Unit,Temp,Index
9/29/22,1:23:00 PM,38,1
9/29/22,3:23:00 PM,39,2
9/29/22,5:23:00 PM,33,3
9/29/22,7:23:00 PM,21,4
9/29/22,9:23:00 PM,14,5
9/29/22,11:23:00 PM,12,6
9/30/22,1:23:00 AM,10,7
9/30/22,3:23:00 AM,9,8
9/30/22,5:23:00 AM,8.5,9
9/30/22,7:23:00 AM,8,10
9/30/22,9:23:00 AM,25.5,11
9/30/22,11:23:00 AM,34,12
9/30/22,1:23:00 PM,41.5,13
9/30/22,3:23:00 PM,42,14
9/30/22,5:23:00 PM,35,15
9/30/22,7:23:00 PM,18.5,16
9/30/22,9:23:00 PM,14,17
9/30/22,11:23:00 PM,12,18
10/1/22,1:23:00 AM,10,19
10/1/22,3:23:00 AM,8.5,20
10/1/22,5:23:00 AM,8,21
10/1/22,7:23:00 AM,7.5,22
10/1/22,9:23:00 AM,23.5,23
10/1/22,11:23:00 AM,31.5,24
10/1/22,1:23:00 PM,35,25
10/1/22,3:23:00 PM,33.5,26
10/1/22,5:23:00 PM,28.5,27
10/1/22,7:23:00 PM,16.5,28
10/1/22,9:23:00 PM,13,29
10/1/22,11:23:00 PM,11.5,30
10/2/22,1:23:00 AM,12.5,31
10/2/22,3:23:00 AM,12.5,32
10/2/22,5:23:00 AM,12.5,33
10/2/22,7:23:00 AM,12.5,34
10/2/22,9:23:00 AM,13.5,35
10/2/22,11:23:00 AM,16,36
10/2/22,1:23:00 PM,30,37
10/2/22,3:23:00 PM,33.5,38
10/2/22,5:23:00 PM,29,39
10/2/22,7:23:00 PM,17.5,40
10/2/22,9:23:00 PM,12,41
10/2/22,11:23:00 PM,10,42
10/3/22,1:23:00 AM,8,43
10/3/22,3:23:00 AM,7,44
10/3/22,5:23:00 AM,6.5,45
10/3/22,7:23:00 AM,8,46
10/3/22,9:23:00 AM,15,47
10/3/22,11:23:00 AM,29,48
10/3/22,1:23:00 PM,37,49
10/3/22,3:23:00 PM,39,50
10/3/22,5:23:00 PM,33,51
10/3/22,7:23:00 PM,18.5,52
10/3/22,9:23:00 PM,13,53
10/3/22,11:23:00 PM,11,54
10/4/22,1:23:00 AM,10,55
10/4/22,3:23:00 AM,8.5,56
10/4/22,5:23:00 AM,7.5,57
10/4/22,7:23:00 AM,7,58
10/4/22,9:23:00 AM,21,59
10/4/22,11:23:00 AM,32,60
10/4/22,1:23:00 PM,41,61
10/4/22,3:23:00 PM,39,62
10/4/22,5:23:00 PM,33.5,63
10/4/22,7:23:00 PM,17,64
10/4/22,9:23:00 PM,12,65
10/4/22,11:23:00 PM,10,66
10/5/22,1:23:00 AM,9,67
10/5/22,3:23:00 AM,8.5,68
10/5/22,5:23:00 AM,7,69
10/5/22,7:23:00 AM,7,70
10/5/22,9:23:00 AM,24,71
10/5/22,11:23:00 AM,35.5,72
10/5/22,1:23:00 PM,42.5,73
10/5/22,3:23:00 PM,41,74
10/5/22,5:23:00 PM,37.5,75
10/5/22,7:23:00 PM,20,76
10/5/22,9:23:00 PM,15,77
10/5/22,11:23:00 PM,12.5,78
10/6/22,1:23:00 AM,11,79
10/6/22,3:23:00 AM,10,80
10/6/22,5:23:00 AM,9,81
10/6/22,7:23:00 AM,8.5,82
10/6/22,9:23:00 AM,24.5,83
10/6/22,11:23:00 AM,35.5,84
10/6/22,1:23:00 PM,44.5,85
10/6/22,3:23:00 PM,41,86
10/6/22,5:23:00 PM,37,87
10/6/22,7:23:00 PM,19,88
10/6/22,9:23:00 PM,14.5,89
10/6/22,11:23:00 PM,12.5,90
10/7/22,1:23:00 AM,10.5,91
10/7/22,3:23:00 AM,9,92
10/7/22,5:23:00 AM,8.5,93
10/7/22,7:23:00 AM,7.5,94
10/7/22,9:23:00 AM,24,95
10/7/22,11:23:00 AM,35,96
10/7/22,1:23:00 PM,43.5,97
10/7/22,3:23:00 PM,44,98
10/7/22,5:23:00 PM,38.5,99
10/7/22,7:23:00 PM,20,100
10/7/22,9:23:00 PM,15,101
10/7/22,11:23:00 PM,12,102
10/8/22,1:23:00 AM,10,103
10/8/22,3:23:00 AM,8.5,104
10/8/22,5:23:00 AM,7.5,105
10/8/22,7:23:00 AM,6.5,106
10/8/22,9:23:00 AM,25.5,107
10/8/22,11:23:00 AM,35.5,108
10/8/22,1:23:00 PM,45,109
10/8/22,3:23:00 PM,44.5,110
10/8/22,5:23:00 PM,38,111
10/8/22,7:23:00 PM,20.5,112
10/8/22,9:23:00 PM,15,113
10/8/22,11:23:00 PM,11.5,114
10/9/22,1:23:00 AM,10,115
10/9/22,3:23:00 AM,8.5,116
10/9/22,5:23:00 AM,7.5,117
10/9/22,7:23:00 AM,6.5,118
10/9/22,9:23:00 AM,24.5,119
10/9/22,11:23:00 AM,34.5,120
10/9/22,1:23:00 PM,43,121
10/9/22,3:23:00 PM,43.5,122
10/9/22,5:23:00 PM,37,123
10/9/22,7:23:00 PM,18,124
10/9/22,9:23:00 PM,14,125
10/9/22,11:23:00 PM,11,126
10/10/22,1:23:00 AM,9,127
10/10/22,3:23:00 AM,7.5,128
10/10/22,5:23:00 AM,6.5,129
10/10/22,7:23:00 AM,5.5,130
10/10/22,9:23:00 AM,23,131
10/10/22,11:23:00 AM,34.5,132
10/10/22,1:23:00 PM,43,133
10/10/22,3:23:00 PM,42,134
10/10/22,5:23:00 PM,34.5,135
10/10/22,7:23:00 PM,17,136
10/10/22,9:23:00 PM,13.5,137
10/10/22,11:23:00 PM,11,138
10/11/22,1:23:00 AM,9,139
10/11/22,3:23:00 AM,7.5,140
10/11/22,5:23:00 AM,6.5,141
10/11/22,7:23:00 AM,6.5,142
10/11/22,9:23:00 AM,22.5,143
10/11/22,11:23:00 AM,33.5,144
10/11/22,1:23:00 PM,39.5,145
10/11/22,3:23:00 PM,38,146
10/11/22,5:23:00 PM,34,147
10/11/22,7:23:00 PM,20.5,148
10/11/22,9:23:00 PM,14,149
10/11/22,11:23:00 PM,10.5,150
10/12/22,1:23:00 AM,8.5,151
10/12/22,3:23:00 AM,7,152
10/12/22,5:23:00 AM,6.5,153
10/12/22,7:23:00 AM,6,154
10/12/22,9:23:00 AM,21.5,155
10/12/22,11:23:00 AM,30,156
10/12/22,1:23:00 PM,37.5,157
10/12/22,3:23:00 PM,41,158
10/12/22,5:23:00 PM,34.5,159
10/12/22,7:23:00 PM,17.5,160
10/12/22,9:23:00 PM,12.5,161
10/12/22,11:23:00 PM,10,162
10/13/22,1:23:00 AM,9,163
10/13/22,3:23:00 AM,7.5,164
10/13/22,5:23:00 AM,6.5,165
10/13/22,7:23:00 AM,6,166
10/13/22,9:23:00 AM,18,167
10/13/22,11:23:00 AM,31.5,168
10/13/22,1:23:00 PM,41.5,169
10/13/22,3:23:00 PM,41,170
10/13/22,5:23:00 PM,34,171
10/13/22,7:23:00 PM,17,172
10/13/22,9:23:00 PM,13,173
10/13/22,11:23:00 PM,10,174
10/14/22,1:23:00 AM,8.5,175
10/14/22,3:23:00 AM,7,176
10/14/22,5:23:00 AM,6.5,177
10/14/22,7:23:00 AM,5.5,178
10/14/22,9:23:00 AM,20.5,179
10/14/22,11:23:00 AM,32.5,180
10/14/22,1:23:00 PM,41.5,181
10/14/22,3:23:00 PM,42.5,182
10/14/22,5:23:00 PM,35,183
10/14/22,7:23:00 PM,19,184
10/14/22,9:23:00 PM,19,185
10/14/22,11:23:00 PM,12.5,186
10/15/22,1:23:00 AM,9.5,187
10/15/22,3:23:00 AM,7.5,188
10/15/22,5:23:00 AM,11,189
10/15/22,7:23:00 AM,10.5,190
10/15/22,9:23:00 AM,12.5,191
10/15/22,11:23:00 AM,19,192
10/15/22,1:23:00 PM,31.5,193
10/15/22,3:23:00 PM,30,194
10/15/22,5:23:00 PM,22,195
10/15/22,7:23:00 PM,13.5,196
10/15/22,9:23:00 PM,14.5,197
10/15/22,11:23:00 PM,14,198
10/16/22,1:23:00 AM,13.5,199
10/16/22,3:23:00 AM,13,200
10/16/22,5:23:00 AM,13,201
10/16/22,7:23:00 AM,13,202
10/16/22,9:23:00 AM,15,203
10/16/22,11:23:00 AM,17.5,204
10/16/22,1:23:00 PM,23,205
10/16/22,3:23:00 PM,26.5,206
10/16/22,5:23:00 PM,20,207
10/16/22,7:23:00 PM,10,208
10/16/22,9:23:00 PM,8.5,209
10/16/22,11:23:00 PM,7.5,210
10/17/22,1:23:00 AM,10,211
10/17/22,3:23:00 AM,11,212
10/17/22,5:23:00 AM,11.5,213
10/17/22,7:23:00 AM,10,214
10/17/22,9:23:00 AM,17.5,215
10/17/22,11:23:00 AM,28,216
10/17/22,1:23:00 PM,34,217
10/17/22,3:23:00 PM,32,218
10/17/22,5:23:00 PM,26,219
10/17/22,7:23:00 PM,17,220
10/17/22,9:23:00 PM,11.5,221
10/17/22,11:23:00 PM,11,222
10/18/22,1:23:00 AM,9.5,223
10/18/22,3:23:00 AM,8.5,224
10/18/22,5:23:00 AM,8.5,225
10/18/22,7:23:00 AM,7.5,226
