Row,Vine,Variety,Treatment,Sample.Date,Direction,None,BarrenShoot,Scorch,Match,Stunt,SC,UnevenL
2,22,Albarino,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
2,23,Albarino,Bakersfield,8/25/21,West,0,0,0,0,0,0,1
2,24,Albarino,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
2,25,Albarino,control,8/25/21,West,1,0,0,0,0,0,0
3,2,Teroldego,Hopland,8/25/21,West,1,0,0,0,0,0,0
3,3,Teroldego,control,8/25/21,West,1,0,0,0,0,0,0
3,4,Teroldego,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,5,Teroldego,control,8/25/21,West,1,0,0,0,0,0,0
3,6,Teroldego,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,7,Sagrantino,control,8/25/21,West,1,0,0,0,0,0,0
3,8,Sagrantino,Bakersfield,8/25/21,West,0,0,1,0,0,0,0
3,9,Sagrantino,Bakersfield,8/25/21,West,0,0,1,0,0,0,0
3,10,Sagrantino,Hopland,8/25/21,West,0,0,1,0,0,0,0
3,11,Sagrantino,Bakersfield,8/25/21,West,0,0,1,0,0,0,0
3,12,Greco di Tufo,Hopland,8/25/21,West,1,0,0,0,0,0,0
3,13,Greco di Tufo,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,14,Greco di Tufo,control,8/25/21,West,1,0,0,0,0,0,0
3,15,Greco di Tufo,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,16,Greco di Tufo,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,17,Tinta Francisca,Hopland,8/25/21,West,0,0,1,0,1,0,0
3,18,Tinta Francisca,Hopland,8/25/21,West,0,0,0,0,1,0,0
3,19,Tinta Francisca,Hopland,8/25/21,West,0,0,1,0,1,0,0
3,20,Tinta Francisca,Bakersfield,8/25/21,West,0,0,1,0,1,0,0
3,21,Tinta Francisca,control,8/25/21,West,0,0,0,0,1,0,0
3,22,Petit Manseng,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,23,Petit Manseng,Hopland,8/25/21,West,1,0,0,0,0,0,0
3,24,Petit Manseng,Hopland,8/25/21,West,0,0,1,0,0,0,0
3,25,Petit Manseng,Hopland,8/25/21,West,0,0,1,0,0,0,0
3,26,Petit Manseng,Hopland,8/25/21,West,0,0,1,0,0,1,0
3,27,Falanghina,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
3,28,Falanghina,Hopland,8/25/21,West,1,0,0,0,0,0,0
3,29,Falanghina,Hopland,8/25/21,West,1,0,0,0,0,0,0
3,30,Falanghina,Hopland,8/25/21,West,1,0,0,0,0,0,0
3,31,Falanghina,control,8/25/21,West,1,0,0,0,0,0,0
4,2,Falanghina,Bakersfield,8/25/21,West,1,0,0,0,0,0,0
4,3,Falanghina,control,8/25/21,West,1,0,0,0,0,0,0
4,4,Falanghina,Hopland,8/25/21,West,0,0,1,0,0,0,0
4,5,Falanghina,Hopland,8/25/21,West,0,0,1,0,0,0,1
