,Row,Vine,Variety,Treatment,Sample.Date,Direction,None,Scorch,Match,Stunt,SC,UnevenL,Dead,BarrenShoot
1,2,22,Albarino,Bakersfield,8/16/23,W,0,0,0,1,0,0,0,0
2,2,23,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
3,2,24,Albarino,Bakersfield,8/16/23,W,0,1,0,1,0,1,0,0
4,2,25,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
5,3,2,Teroldego,Hopland,8/16/23,W,0,0,0,1,0,1,0,0
6,3,3,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
7,3,4,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
8,3,5,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
9,3,6,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
10,3,7,Sagrantino,control,8/16/23,W,1,0,0,0,0,0,0,0
11,3,8,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
12,3,9,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
13,3,10,Sagrantino,Hopland,8/16/23,W,0,0,0,0,1,0,0,0
14,3,11,Sagrantino,Bakersfield,8/16/23,W,0,0,0,1,0,0,1,0
15,3,12,Greco di Tufo,Hopland,8/16/23,W,0,0,0,1,0,0,1,0
16,3,13,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
17,3,14,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
18,3,15,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
19,3,16,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
20,3,17,Tinta Francisca,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
21,3,18,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
22,3,19,Tinta Francisca,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
23,3,20,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
