Row,Vine,Variety,Treatment
2,22,Albarino,Bakersfield
2,23,Albarino,Bakersfield
2,24,Albarino,Bakersfield
2,25,Albarino,control
3,2,Teroldego,Hopland
3,3,Teroldego,control
3,4,Teroldego,Bakersfield
3,5,Teroldego,control
3,6,Teroldego,Bakersfield
3,7,Sagrantino,control
3,8,Sagrantino,Bakersfield
3,9,Sagrantino,Bakersfield
3,10,Sagrantino,Hopland
3,11,Sagrantino,Bakersfield
3,12,Greco di Tufo,Hopland
3,13,Greco di Tufo,Bakersfield
3,14,Greco di Tufo,control
3,15,Greco di Tufo,Bakersfield
3,16,Greco di Tufo,Bakersfield
3,17,Tinta Francisca,Hopland
3,18,Tinta Francisca,Hopland
3,19,Tinta Francisca,Hopland
3,20,Tinta Francisca,Bakersfield
3,21,Tinta Francisca,control
3,22,Petit Manseng,Bakersfield
3,23,Petit Manseng,Hopland
3,24,Petit Manseng,Hopland
3,25,Petit Manseng,Hopland
3,26,Petit Manseng,Hopland
3,27,Falanghina,Bakersfield
3,28,Falanghina,Hopland
3,29,Falanghina,Hopland
3,30,Falanghina,Hopland
3,31,Falanghina,control
4,2,Falanghina,Bakersfield
4,3,Falanghina,control
4,4,Falanghina,Hopland
4,5,Falanghina,Hopland
4,6,Falanghina,Hopland
4,7,Greco di Tufo,control
4,8,Greco di Tufo,Hopland
4,9,Greco di Tufo,Hopland
4,10,Greco di Tufo,control
4,11,Greco di Tufo,Bakersfield
4,12,Albarino,control
4,13,Albarino,Bakersfield
4,14,Albarino,Hopland
4,16,Albarino,Hopland
4,23,Albarino,Hopland
4,24,Albarino,Bakersfield
4,25,Albarino,Hopland
4,26,Albarino,control
4,27,Tinta Francisca,control
4,28,Tinta Francisca,Hopland
4,29,Tinta Francisca,Hopland
4,30,Tinta Francisca,control
4,31,Tinta Francisca,Bakersfield
4,32,Tempranillo,Hopland
4,33,Tempranillo,control
4,34,Tempranillo,Bakersfield
4,35,Tempranillo,Bakersfield
4,36,Tempranillo,Hopland
4,37,Ciliegiolo,control
4,38,Ciliegiolo,Bakersfield
4,39,Ciliegiolo,Hopland
4,40,Ciliegiolo,control
4,41,Ciliegiolo,control
5,2,Ciliegiolo,Bakersfield
5,3,Ciliegiolo,Hopland
5,4,Ciliegiolo,Bakersfield
5,5,Ciliegiolo,control
5,6,Ciliegiolo,Bakersfield
5,7,Periquita,Hopland
5,8,Periquita,Hopland
5,9,Periquita,control
5,10,Periquita,control
5,11,Periquita,Bakersfield
5,12,Ciliegiolo,Bakersfield
5,13,Ciliegiolo,Hopland
5,14,Ciliegiolo,control
5,15,Ciliegiolo,control
5,16,Ciliegiolo,Bakersfield
5,17,Petit Manseng,control
5,18,Petit Manseng,control
5,19,Petit Manseng,control
5,20,Petit Manseng,Bakersfield
5,22,Greco di Tufo,control
5,23,Greco di Tufo,Hopland
5,24,Greco di Tufo,control
5,25,Greco di Tufo,Hopland
5,26,Greco di Tufo,control
5,27,Teroldego,Hopland
5,28,Teroldego,control
5,29,Teroldego,Hopland
5,30,Teroldego,Hopland
5,31,Teroldego,control
5,32,Tinta Amarella,Bakersfield
5,33,Tinta Amarella,Bakersfield
5,34,Tinta Amarella,Hopland
5,35,Tinta Amarella,control
5,36,Tinta Amarella,control
5,37,Falanghina,Bakersfield
5,38,Falanghina,Hopland
5,39,Falanghina,Hopland
5,40,Falanghina,Bakersfield
5,41,Falanghina,control
6,2,Albarino,Bakersfield
6,3,Albarino,control
6,4,Albarino,Hopland
6,5,Albarino,control
6,6,Albarino,control
6,7,Petit Manseng,Bakersfield
6,8,Petit Manseng,Hopland
6,9,Petit Manseng,Bakersfield
6,11,Petit Manseng,Hopland
6,12,Teroldego,Hopland
6,13,Teroldego,control
6,14,Teroldego,Bakersfield
6,15,Teroldego,control
6,16,Teroldego,Hopland
6,17,Mencia,Bakersfield
6,18,Mencia,Hopland
6,19,Mencia,Hopland
6,20,Mencia,Hopland
6,21,Mencia,Bakersfield
6,22,Tinta Amarella,control
6,23,Tinta Amarella,control
6,24,Tinta Amarella,Bakersfield
6,25,Tinta Amarella,Hopland
6,26,Tinta Amarella,control
6,27,Sagrantino,Bakersfield
6,28,Sagrantino,control
6,29,Sagrantino,Bakersfield
6,30,Sagrantino,control
6,31,Sagrantino,Bakersfield
6,32,Falanghina,Bakersfield
6,33,Falanghina,Bakersfield
6,34,Falanghina,Bakersfield
6,35,Falanghina,Bakersfield
6,36,Falanghina,control
6,37,Tempranillo,Bakersfield
6,38,Tempranillo,Hopland
6,39,Tempranillo,control
6,40,Tempranillo,Hopland
6,41,Tempranillo,control
7,3,Mencia,control
7,5,Mencia,Hopland
7,6,Mencia,control
7,7,Albarino,control
7,8,Albarino,Hopland
7,10,Albarino,Hopland
7,12,Sagrantino,Hopland
7,13,Sagrantino,Bakersfield
7,14,Sagrantino,Hopland
7,15,Sagrantino,Hopland
7,16,Sagrantino,Hopland
7,17,Tempranillo,Hopland
7,18,Tempranillo,control
7,19,Tempranillo,control
7,20,Tempranillo,Hopland
7,21,Tempranillo,Hopland
7,22,Ciliegiolo,Hopland
7,23,Ciliegiolo,control
7,24,Ciliegiolo,Hopland
7,26,Ciliegiolo,Bakersfield
7,32,Albarino,Bakersfield
7,33,Albarino,Hopland
7,34,Albarino,Bakersfield
7,35,Albarino,Hopland
7,36,Albarino,Hopland
7,37,Greco di Tufo,Bakersfield
7,38,Greco di Tufo,Bakersfield
7,39,Greco di Tufo,Hopland
7,40,Greco di Tufo,Hopland
7,41,Greco di Tufo,Bakersfield
8,2,Sagrantino,Bakersfield
8,4,Sagrantino,control
8,5,Sagrantino,Hopland
8,6,Sagrantino,Hopland
8,7,Falanghina,Hopland
8,8,Falanghina,control
8,9,Falanghina,control
8,10,Falanghina,Hopland
8,11,Falanghina,Hopland
8,12,Mencia,Hopland
8,13,Mencia,Bakersfield
8,15,Mencia,Bakersfield
8,16,Mencia,Bakersfield
8,17,Albarino,Hopland
8,18,Albarino,Bakersfield
8,19,Albarino,Bakersfield
8,21,Albarino,Bakersfield
8,22,Periquita,Bakersfield
8,23,Periquita,control
8,24,Periquita,Hopland
8,25,Periquita,Hopland
8,26,Periquita,Hopland
8,27,Albarino,control
8,28,Albarino,Bakersfield
8,29,Albarino,control
8,30,Albarino,Hopland
8,32,Tannat,Hopland
8,33,Tannat,Bakersfield
8,34,Tannat,Bakersfield
8,35,Tannat,Hopland
8,36,Tannat,Bakersfield
8,37,Periquita,Hopland
8,38,Periquita,Bakersfield
8,39,Periquita,Hopland
8,40,Periquita,Hopland
8,41,Periquita,Bakersfield
9,2,Tannat,Hopland
9,4,Tannat,Bakersfield
9,6,Tannat,Hopland
9,7,Tinta Amarella,Hopland
9,8,Tinta Amarella,control
9,11,Tinta Amarella,control
9,12,Petit Manseng,Hopland
