Row,Vine,Variety,flag color,values,ind,month
2,22,Albarino,yellow,8,W,April
2,23,Albarino,yellow,4,W,April
2,24,Albarino,yellow,13,W,April
2,25,Albarino,pink,6,W,April
3,2,Teroldego,red/orange,2,W,April
3,3,Teroldego,pink,5,W,April
3,4,Teroldego,yellow,10,W,April
3,5,Teroldego,pink,8,W,April
3,6,Teroldego,yellow,5,W,April
3,7,Sagrantino,pink,5,W,April
3,8,Sagrantino,yellow,8,W,April
3,9,Sagrantino,yellow,1,W,April
3,10,Sagrantino,red/orange,5,W,April
3,11,Sagrantino,yellow,1,W,April
3,12,Greco di Tufo,red/orange,0,W,April
3,13,Greco di Tufo,yellow,4,W,April
3,14,Greco di Tufo,pink,3,W,April
3,15,Greco di Tufo,yellow,3,W,April
3,16,Greco di Tufo,yellow,1,W,April
3,17,Tinta Francisca,red/orange,1,W,April
3,18,Tinta Francisca,red/orange,1,W,April
3,19,Tinta Francisca,yellow,0,W,April
3,20,Tinta Francisca,yellow,5,W,April
3,21,Tinta Francisca,pink,2,W,April
3,22,Petit Manseng,yellow,8,W,April
3,23,Petit Manseng,red/orange,0,W,April
3,24,Petit Manseng,red/orange,1,W,April
3,25,Petit Manseng,red/orange,1,W,April
3,26,Petit Manseng,red/orange,7,W,April
3,27,Falanghina,yellow,2,W,April
3,28,Falanghina,red/orange,4,W,April
3,29,Falanghina,red/orange,1,W,April
3,30,Falanghina,red/orange,5,W,April
3,31,Falanghina,pink,2,W,April
4,2,Falanghina,yellow,3,W,April
4,3,Falanghina,pink,5,W,April
4,4,Falanghina,red/orange,5,W,April
4,5,Falanghina,red/orange,3,W,April
4,6,Falanghina,red/orange,0,W,April
4,7,Greco di Tufo,pink,3,W,April
4,8,Greco di Tufo,red/orange,0,W,April
4,9,Greco di Tufo,red/orange,0,W,April
4,10,Greco di Tufo,pink,3,W,April
4,11,Greco di Tufo,yellow,2,W,April
4,12,Albarino,pink,6,W,April
4,13,Albarino,yellow,10,W,April
4,14,Albarino,red/orange,7,W,April
4,16,Albarino,red/orange,1,W,April
4,23,Albarino,red/orange,2,W,April
4,24,Albarino,yellow,3,W,April
4,25,Albarino,red/orange,4,W,April
4,26,Albarino,pink,4,W,April
4,27,Tinta Francisca,pink,3,W,April
4,28,Tinta Francisca,red/orange,2,W,April
4,29,Tinta Francisca,red/orange,3,W,April
4,30,Tinta Francisca,pink,5,W,April
4,31,Tinta Francisca,yellow,4,W,April
4,32,Graciano,red/orange,0,W,April
4,33,Graciano,pink,1,W,April
4,34,Graciano,yellow,0,W,April
4,35,Graciano,yellow,0,W,April
4,36,Graciano,red/orange,0,W,April
4,37,Ciliegiolo,pink,2,W,April
4,38,Ciliegiolo,yellow,2,W,April
4,39,Ciliegiolo,red/orange,0,W,April
4,40,Ciliegiolo,pink,1,W,April
4,41,Ciliegiolo,pink,4,W,April
5,2,Ciliegiolo,yellow,4,W,April
5,3,Ciliegiolo,red/orange,2,W,April
5,4,Ciliegiolo,yellow,5,W,April
5,5,Ciliegiolo,pink,4,W,April
5,6,Ciliegiolo,yellow,3,W,April
5,7,Periquita,red/orange,1,W,April
5,8,Periquita,red/orange,1,W,April
5,9,Periquita,pink,7,W,April
5,10,Periquita,pink,1,W,April
5,11,Periquita,yellow,1,W,April
5,12,Ciliegiolo,yellow,3,W,April
5,13,Ciliegiolo,red/orange,1,W,April
5,14,Ciliegiolo,pink,6,W,April
5,15,Ciliegiolo,pink,6,W,April
5,16,Ciliegiolo,yellow,4,W,April
5,17,Petit Manseng,pink,1,W,April
5,18,Petit Manseng,pink,3,W,April
5,19,Petit Manseng,pink,3,W,April
5,20,Petit Manseng,yellow,5,W,April
5,22,Greco di Tufo,pink,2,W,April
5,23,Greco di Tufo,red/orange,0,W,April
5,24,Greco di Tufo,pink,5,W,April
5,25,Greco di Tufo,red/orange,0,W,April
5,26,Greco di Tufo,pink,5,W,April
5,27,Teroldego,red/orange,10,W,April
5,28,Teroldego,pink,7,W,April
5,29,Teroldego,red/orange,4,W,April
5,30,Teroldego,red/orange,6,W,April
5,31,Teroldego,pink,9,W,April
5,32,Tinta Amarella,yellow,2,W,April
5,33,Tinta Amarella,yellow,3,W,April
5,34,Tinta Amarella,red/orange,1,W,April
5,35,Tinta Amarella,pink,6,W,April
5,36,Tinta Amarella,pink,3,W,April
5,37,Falanghina,yellow,5,W,April
5,38,Falanghina,red/orange,4,W,April
5,39,Falanghina,red/orange,4,W,April
5,40,Falanghina,yellow,1,W,April
5,41,Falanghina,pink,1,W,April
6,2,Albarino,yellow,10,W,April
6,3,Albarino,pink,6,W,April
6,4,Albarino,red/orange,5,W,April
6,5,Albarino,pink,6,W,April
6,6,Albarino,pink,8,W,April
6,7,Petit Manseng,yellow,4,W,April
6,8,Petit Manseng,red/orange,1,W,April
6,9,Petit Manseng,yellow,4,W,April
6,11,Petit Manseng,red/orange,4,W,April
6,12,Teroldego,red/orange,2,W,April
6,13,Teroldego,pink,9,W,April
6,14,Teroldego,yellow,7,W,April
6,15,Teroldego,pink,15,W,April
6,16,Teroldego,red/orange,2,W,April
6,17,Mencia,yellow,1,W,April
6,18,Mencia,red/orange,3,W,April
6,19,Mencia,red/orange,2,W,April
6,20,Mencia,red/orange,1,W,April
6,21,Mencia,yellow,2,W,April
6,22,Tinta Amarella,pink,5,W,April
6,23,Tinta Amarella,pink,5,W,April
6,24,Tinta Amarella,yellow,2,W,April
6,25,Tinta Amarella,red/orange,4,W,April
6,26,Tinta Amarella,pink,4,W,April
6,27,Sagrantino,yellow,5,W,April
6,28,Sagrantino,pink,3,W,April
6,29,Sagrantino,yellow,3,W,April
6,30,Sagrantino,pink,8,W,April
6,31,Sagrantino,yellow,3,W,April
6,32,Falanghina,yellow,6,W,April
6,33,Falanghina,yellow,7,W,April
6,34,Falanghina,yellow,1,W,April
6,35,Falanghina,yellow,6,W,April
6,36,Falanghina,pink,7,W,April
6,37,Graciano,yellow,1,W,April
6,38,Graciano,red/orange,1,W,April
6,39,Graciano,pink,0,W,April
6,40,Graciano,red/orange,1,W,April
6,41,Graciano,pink,3,W,April
7,3,Mencia,pink,1,W,April
7,5,Mencia,red/orange,1,W,April
7,6,Mencia,pink,7,W,April
7,7,Albarino,pink,7,W,April
7,8,Albarino,red/orange,3,W,April
