Row,Vine,Variety,flag color,values,ind,month
2,22,Albarino,yellow,43,W,May
2,23,Albarino,yellow,26,W,May
2,24,Albarino,yellow,35,W,May
2,25,Albarino,pink,37,W,May
3,2,Teroldego,red/orange,7,W,May
3,3,Teroldego,pink,37,W,May
3,4,Teroldego,yellow,53,W,May
3,5,Teroldego,pink,33,W,May
3,6,Teroldego,yellow,45,W,May
3,7,Sagrantino,pink,20,W,May
3,8,Sagrantino,yellow,15,W,May
3,9,Sagrantino,yellow,9,W,May
3,10,Sagrantino,red/orange,18,W,May
3,11,Sagrantino,yellow,10,W,May
3,12,Greco di Tufo,red/orange,0,W,May
3,13,Greco di Tufo,yellow,23,W,May
3,14,Greco di Tufo,pink,34,W,May
3,15,Greco di Tufo,yellow,27,W,May
3,16,Greco di Tufo,yellow,29,W,May
3,17,Tinta Francisca,red/orange,20,W,May
3,18,Tinta Francisca,red/orange,11,W,May
3,19,Tinta Francisca,yellow,3,W,May
3,20,Tinta Francisca,yellow,34,W,May
3,21,Tinta Francisca,pink,19,W,May
3,22,Petit Manseng,yellow,13,W,May
3,23,Petit Manseng,red/orange,0,W,May
3,24,Petit Manseng,red/orange,10,W,May
3,25,Petit Manseng,red/orange,4,W,May
3,26,Petit Manseng,red/orange,26,W,May
3,27,Falanghina,yellow,20,W,May
3,28,Falanghina,red/orange,39,W,May
3,29,Falanghina,red/orange,12,W,May
3,30,Falanghina,red/orange,33,W,May
3,31,Falanghina,pink,18,W,May
4,2,Falanghina,yellow,21,W,May
4,3,Falanghina,pink,17,W,May
4,4,Falanghina,red/orange,27,W,May
4,5,Falanghina,red/orange,19,W,May
4,6,Falanghina,red/orange,0,W,May
4,7,Greco di Tufo,pink,31,W,May
4,8,Greco di Tufo,red/orange,0,W,May
4,9,Greco di Tufo,red/orange,0,W,May
4,10,Greco di Tufo,pink,31,W,May
4,11,Greco di Tufo,yellow,29,W,May
4,12,Albarino,pink,30,W,May
4,13,Albarino,yellow,36,W,May
4,14,Albarino,red/orange,37,W,May
4,16,Albarino,red/orange,32,W,May
4,23,Albarino,red/orange,30,W,May
4,24,Albarino,yellow,36,W,May
4,25,Albarino,red/orange,37,W,May
4,26,Albarino,pink,32,W,May
4,27,Tinta Francisca,pink,30,W,May
4,28,Tinta Francisca,red/orange,9,W,May
4,29,Tinta Francisca,red/orange,28,W,May
4,30,Tinta Francisca,pink,21,W,May
4,31,Tinta Francisca,yellow,31,W,May
4,32,Graciano,red/orange,0,W,May
4,33,Graciano,pink,4,W,May
4,34,Graciano,yellow,14,W,May
4,35,Graciano,yellow,0,W,May
4,36,Graciano,red/orange,3,W,May
4,37,Ciliegiolo,pink,30,W,May
4,38,Ciliegiolo,yellow,21,W,May
4,39,Ciliegiolo,red/orange,7,W,May
4,40,Ciliegiolo,pink,9,W,May
4,41,Ciliegiolo,pink,29,W,May
5,2,Ciliegiolo,yellow,55,W,May
5,3,Ciliegiolo,red/orange,14,W,May
5,4,Ciliegiolo,yellow,31,W,May
5,5,Ciliegiolo,pink,12,W,May
5,6,Ciliegiolo,yellow,17,W,May
5,7,Periquita,red/orange,11,W,May
5,8,Periquita,red/orange,6,W,May
5,9,Periquita,pink,27,W,May
5,10,Periquita,pink,21,W,May
5,11,Periquita,yellow,16,W,May
5,12,Ciliegiolo,yellow,17,W,May
5,13,Ciliegiolo,red/orange,7,W,May
5,14,Ciliegiolo,pink,30,W,May
5,15,Ciliegiolo,pink,38,W,May
5,16,Ciliegiolo,yellow,33,W,May
5,17,Petit Manseng,pink,22,W,May
5,18,Petit Manseng,pink,21,W,May
5,19,Petit Manseng,pink,10,W,May
5,20,Petit Manseng,yellow,18,W,May
5,22,Greco di Tufo,pink,45,W,May
5,23,Greco di Tufo,red/orange,18,W,May
5,24,Greco di Tufo,pink,15,W,May
5,25,Greco di Tufo,red/orange,3,W,May
5,26,Greco di Tufo,pink,44,W,May
5,27,Teroldego,red/orange,26,W,May
5,28,Teroldego,pink,10,W,May
5,29,Teroldego,red/orange,24,W,May
5,30,Teroldego,red/orange,44,W,May
5,31,Teroldego,pink,51,W,May
5,32,Tinta Amarella,yellow,18,W,May
5,33,Tinta Amarella,yellow,8,W,May
5,34,Tinta Amarella,red/orange,7,W,May
5,35,Tinta Amarella,pink,31,W,May
5,36,Tinta Amarella,pink,22,W,May
5,37,Falanghina,yellow,33,W,May
5,38,Falanghina,red/orange,45,W,May
5,39,Falanghina,red/orange,24,W,May
5,40,Falanghina,yellow,15,W,May
5,41,Falanghina,pink,18,W,May
6,2,Albarino,yellow,39,W,May
6,3,Albarino,pink,47,W,May
6,4,Albarino,red/orange,31,W,May
6,5,Albarino,pink,27,W,May
6,6,Albarino,pink,30,W,May
6,7,Petit Manseng,yellow,12,W,May
6,8,Petit Manseng,red/orange,8,W,May
6,9,Petit Manseng,yellow,20,W,May
6,11,Petit Manseng,red/orange,22,W,May
6,12,Teroldego,red/orange,15,W,May
6,13,Teroldego,pink,20,W,May
6,14,Teroldego,yellow,42,W,May
6,15,Teroldego,pink,56,W,May
6,16,Teroldego,red/orange,15,W,May
6,17,Mencia,yellow,4,W,May
6,18,Mencia,red/orange,19,W,May
6,19,Mencia,red/orange,10,W,May
6,20,Mencia,red/orange,3,W,May
6,21,Mencia,yellow,21,W,May
6,22,Tinta Amarella,pink,29,W,May
6,23,Tinta Amarella,pink,22,W,May
6,24,Tinta Amarella,yellow,10,W,May
6,25,Tinta Amarella,red/orange,24,W,May
6,26,Tinta Amarella,pink,22,W,May
6,27,Sagrantino,yellow,32,W,May
6,28,Sagrantino,pink,20,W,May
6,29,Sagrantino,yellow,20,W,May
6,30,Sagrantino,pink,7,W,May
6,31,Sagrantino,yellow,13,W,May
6,32,Falanghina,yellow,48,W,May
6,33,Falanghina,yellow,40,W,May
6,34,Falanghina,yellow,18,W,May
6,35,Falanghina,yellow,36,W,May
6,36,Falanghina,pink,35,W,May
6,37,Graciano,yellow,21,W,May
6,38,Graciano,red/orange,27,W,May
6,39,Graciano,pink,1,W,May
6,40,Graciano,red/orange,3,W,May
6,41,Graciano,pink,40,W,May
7,3,Mencia,pink,26,W,May
7,5,Mencia,red/orange,10,W,May
7,6,Mencia,pink,16,W,May
7,7,Albarino,pink,36,W,May
7,8,Albarino,red/orange,15,W,May
7,10,Albarino,red/orange,23,W,May
7,12,Sagrantino,red/orange,9,W,May
7,13,Sagrantino,yellow,12,W,May
7,14,Sagrantino,red/orange,11,W,May
7,15,Sagrantino,red/orange,20,W,May
7,16,Sagrantino,red/orange,20,W,May
7,17,Graciano,red/orange,2,W,May
7,18,Graciano,pink,10,W,May
7,19,Graciano,pink,23,W,May
7,20,Graciano,red/orange,8,W,May
7,21,Graciano,red/orange,11,W,May
7,22,Ciliegiolo,red/orange,17,W,May
7,23,Ciliegiolo,pink,18,W,May
7,24,Ciliegiolo,red/orange,20,W,May
7,26,Ciliegiolo,yellow,30,W,May
7,32,Albarino,yellow,52,W,May
7,33,Albarino,red/orange,44,W,May
7,34,Albarino,yellow,35,W,May
7,35,Albarino,red/orange,41,W,May
7,36,Albarino,red/orange,0,W,May
7,37,Greco di Tufo,yellow,7,W,May
7,38,Greco di Tufo,yellow,31,W,May
7,39,Greco di Tufo,red/orange,26,W,May
7,40,Greco di Tufo,red/orange,35,W,May
7,41,Greco di Tufo,yellow,10,W,May
8,2,Sagrantino,yellow,16,W,May
8,4,Sagrantino,pink,13,W,May
8,5,Sagrantino,red/orange,17,W,May
8,6,Sagrantino,red/orange,0,W,May
8,7,Falanghina,red/orange,27,W,May
8,8,Falanghina,pink,25,W,May
8,9,Falanghina,pink,20,W,May
8,10,Falanghina,red/orange,31,W,May
8,11,Falanghina,red/orange,42,W,May
8,12,Mencia,red/orange,11,W,May
8,13,Mencia,yellow,16,W,May
8,15,Mencia,yellow,21,W,May
8,16,Mencia,yellow,26,W,May
8,17,Albarino,red/orange,26,W,May
8,18,Albarino,yellow,32,W,May
8,19,Albarino,yellow,9,W,May
8,21,Albarino,yellow,33,W,May
8,22,Periquita,yellow,21,W,May
8,23,Periquita,pink,26,W,May
8,24,Periquita,red/orange,16,W,May
8,25,Periquita,red/orange,3,W,May
8,26,Periquita,red/orange,31,W,May
8,27,Albarino,pink,0,W,May
8,28,Albarino,yellow,17,W,May
8,29,Albarino,pink,24,W,May
8,30,Albarino,red/orange,30,W,May
8,32,Tannat,red/orange,28,W,May
8,33,Tannat,yellow,0,W,May
8,34,Tannat,yellow,0,W,May
8,35,Tannat,red/orange,19,W,May
8,36,Tannat,yellow,0,W,May
8,37,Periquita,red/orange,3,W,May
8,38,Periquita,yellow,35,W,May
8,39,Periquita,red/orange,27,W,May
8,40,Periquita,red/orange,40,W,May
8,41,Periquita,yellow,17,W,May
9,2,Tannat,red/orange,12,W,May
9,4,Tannat,yellow,4,W,May
9,6,Tannat,red/orange,0,W,May
